scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Urban Development Agriculture Mission,"The Urban Development Agriculture Mission is designed to promote agriculture development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 21 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Digital India Employment Samriddhi Scheme,"The Digital India Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 21 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Maharashtra,Employment
Rural Development Education Samriddhi Scheme,"The Rural Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 20 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Education,Tamil Nadu,Education
Rural Development Skill Development Kalyan Program,"The Rural Development Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 22 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development
Pradhan Mantri Skill Development Kalyan Program,"The Pradhan Mantri Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 25 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development
Chief Minister Skill Development Samriddhi Scheme,"The Chief Minister Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 28 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,Uttar Pradesh,Skill Development
Pradhan Mantri Employment Development Initiative,"The Pradhan Mantri Employment Development Initiative is designed to promote employment development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 27 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,Andhra Pradesh,Employment
Chief Minister Employment Samriddhi Scheme,"The Chief Minister Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 19 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Labour and Employment,Andhra Pradesh,Employment
Smart India Employment Abhiyan,"The Smart India Employment Abhiyan is designed to promote employment development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be startup founders aged between 28 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Labour and Employment,Rajasthan,Employment
Smart India Energy Abhiyan,"The Smart India Energy Abhiyan is designed to promote energy development by providing targeted support to rural households in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 20 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Gujarat,Energy
Urban Development Startup Mission,"The Urban Development Startup Mission is designed to promote startup development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 23 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Uttar Pradesh,Startup
National Housing Abhiyan,"The National Housing Abhiyan is designed to promote housing development by providing targeted support to startup founders in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 24 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Housing and Urban Affairs,Kerala,Housing
Pradhan Mantri Housing Samriddhi Scheme,"The Pradhan Mantri Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 21 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,All India,Housing
National Healthcare Samriddhi Scheme,"The National Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 30 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Madhya Pradesh,Healthcare
Rural Development Agriculture Yojana,"The Rural Development Agriculture Yojana is designed to promote agriculture development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 27 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture
Integrated Startup Yojana,"The Integrated Startup Yojana is designed to promote startup development by providing targeted support to small business owners in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 28 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Digital India Housing Yojana,"The Digital India Housing Yojana is designed to promote housing development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 24 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,All India,Housing
National Housing Samriddhi Scheme,"The National Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 25 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Housing and Urban Affairs,Madhya Pradesh,Housing
Urban Development Healthcare Kalyan Program,"The Urban Development Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to rural households in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 20 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,Maharashtra,Healthcare
Urban Development Women Welfare Mission,"The Urban Development Women Welfare Mission is designed to promote women welfare development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 18 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Women and Child Development,Tamil Nadu,Women Welfare
Digital India Women Welfare Yojana,"The Digital India Women Welfare Yojana is designed to promote women welfare development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 23 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Urban Development Startup Yojana,"The Urban Development Startup Yojana is designed to promote startup development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 22 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Tamil Nadu,Startup
Integrated Education Mission,"The Integrated Education Mission is designed to promote education development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 28 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,Uttar Pradesh,Education
Digital India Healthcare Yojana,"The Digital India Healthcare Yojana is designed to promote healthcare development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 18 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Health and Family Welfare,Rajasthan,Healthcare
Digital India Education Kalyan Program,"The Digital India Education Kalyan Program is designed to promote education development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 29 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Education,Telangana,Education
Rural Development Energy Development Initiative,"The Rural Development Energy Development Initiative is designed to promote energy development by providing targeted support to startup founders in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 25 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Power,Madhya Pradesh,Energy
National Skill Development Development Initiative,"The National Skill Development Development Initiative is designed to promote skill development development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 26 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Uttar Pradesh,Skill Development
Pradhan Mantri Education Samriddhi Scheme,"The Pradhan Mantri Education Samriddhi Scheme is designed to promote education development by providing targeted support to self help groups in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 30 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,West Bengal,Education
Rural Development Agriculture Mission,"The Rural Development Agriculture Mission is designed to promote agriculture development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 28 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Smart India Women Welfare Mission,"The Smart India Women Welfare Mission is designed to promote women welfare development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 22 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Women and Child Development,Telangana,Women Welfare
Urban Development Education Mission,"The Urban Development Education Mission is designed to promote education development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 30 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Education,Andhra Pradesh,Education
Smart India Skill Development Kalyan Program,"The Smart India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 26 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Urban Development Startup Development Initiative,"The Urban Development Startup Development Initiative is designed to promote startup development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 19 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Chief Minister Agriculture Samriddhi Scheme,"The Chief Minister Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 25 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Andhra Pradesh,Agriculture
Smart India Housing Samriddhi Scheme,"The Smart India Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 25 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,Gujarat,Housing
Rural Development Housing Samriddhi Scheme,"The Rural Development Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 25 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,Telangana,Housing
National Women Welfare Kalyan Program,"The National Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to self help groups in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 28 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Women and Child Development,Rajasthan,Women Welfare
Integrated Employment Yojana,"The Integrated Employment Yojana is designed to promote employment development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 21 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Tamil Nadu,Employment
Chief Minister Skill Development Abhiyan,"The Chief Minister Skill Development Abhiyan is designed to promote skill development development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 18 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
National Education Development Initiative,"The National Education Development Initiative is designed to promote education development by providing targeted support to women entrepreneurs in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 23 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Education,Kerala,Education
Smart India Startup Kalyan Program,"The Smart India Startup Kalyan Program is designed to promote startup development by providing targeted support to rural households in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 22 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Rural Development Women Welfare Samriddhi Scheme,"The Rural Development Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 22 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Maharashtra,Women Welfare
Chief Minister Housing Development Initiative,"The Chief Minister Housing Development Initiative is designed to promote housing development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 29 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,Telangana,Housing
Integrated Housing Kalyan Program,"The Integrated Housing Kalyan Program is designed to promote housing development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 23 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Housing and Urban Affairs,Karnataka,Housing
Digital India Agriculture Mission,"The Digital India Agriculture Mission is designed to promote agriculture development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 22 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,West Bengal,Agriculture
Pradhan Mantri Employment Mission,"The Pradhan Mantri Employment Mission is designed to promote employment development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 25 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,Madhya Pradesh,Employment
Urban Development Agriculture Abhiyan,"The Urban Development Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be startup founders aged between 20 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Rajasthan,Agriculture
Chief Minister Employment Mission,"The Chief Minister Employment Mission is designed to promote employment development by providing targeted support to startup founders in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 29 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Labour and Employment,Uttar Pradesh,Employment
Integrated Education Abhiyan,"The Integrated Education Abhiyan is designed to promote education development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 29 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Uttar Pradesh,Education
Smart India Energy Development Initiative,"The Smart India Energy Development Initiative is designed to promote energy development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 30 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Karnataka,Energy
National Employment Kalyan Program,"The National Employment Kalyan Program is designed to promote employment development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 28 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,All India,Employment
Integrated Startup Development Initiative,"The Integrated Startup Development Initiative is designed to promote startup development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 24 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Andhra Pradesh,Startup
Urban Development Skill Development Kalyan Program,"The Urban Development Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 18 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,Uttar Pradesh,Skill Development
Chief Minister Agriculture Mission,"The Chief Minister Agriculture Mission is designed to promote agriculture development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 27 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Agriculture and Farmers Welfare,Telangana,Agriculture
Pradhan Mantri Healthcare Yojana,"The Pradhan Mantri Healthcare Yojana is designed to promote healthcare development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 22 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Maharashtra,Healthcare
Smart India Education Kalyan Program,"The Smart India Education Kalyan Program is designed to promote education development by providing targeted support to youth in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 22 and 57 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Education,Karnataka,Education
National Startup Abhiyan,"The National Startup Abhiyan is designed to promote startup development by providing targeted support to rural households in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 20 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Kerala,Startup
Digital India Housing Mission,"The Digital India Housing Mission is designed to promote housing development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 26 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,Gujarat,Housing
Smart India Startup Development Initiative,"The Smart India Startup Development Initiative is designed to promote startup development by providing targeted support to students in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 25 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Commerce and Industry,Tamil Nadu,Startup
Chief Minister Skill Development Development Initiative,"The Chief Minister Skill Development Development Initiative is designed to promote skill development development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 18 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Integrated Social Welfare Abhiyan,"The Integrated Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 29 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Telangana,Social Welfare
National Housing Development Initiative,"The National Housing Development Initiative is designed to promote housing development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 25 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Uttar Pradesh,Housing
Smart India Education Development Initiative,"The Smart India Education Development Initiative is designed to promote education development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 29 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,Tamil Nadu,Education
Chief Minister Startup Yojana,"The Chief Minister Startup Yojana is designed to promote startup development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 28 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Maharashtra,Startup
