scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Rural Development Skill Development Yojana,"The Rural Development Skill Development Yojana is designed to promote skill development development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 27 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development
Pradhan Mantri Housing Development Initiative,"The Pradhan Mantri Housing Development Initiative is designed to promote housing development by providing targeted support to youth in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 23 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Rajasthan,Housing
Chief Minister Skill Development Development Initiative,"The Chief Minister Skill Development Development Initiative is designed to promote skill development development by providing targeted support to startup founders in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 21 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Gujarat,Skill Development
Urban Development Agriculture Development Initiative,"The Urban Development Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 28 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Pradhan Mantri Energy Abhiyan,"The Pradhan Mantri Energy Abhiyan is designed to promote energy development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 18 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Karnataka,Energy
Digital India Energy Mission,"The Digital India Energy Mission is designed to promote energy development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 28 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Power,Madhya Pradesh,Energy
Digital India Women Welfare Kalyan Program,"The Digital India Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to self help groups in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 27 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Women and Child Development,Madhya Pradesh,Women Welfare
Smart India Healthcare Samriddhi Scheme,"The Smart India Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to senior citizens in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 21 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Kerala,Healthcare
Rural Development Employment Mission,"The Rural Development Employment Mission is designed to promote employment development by providing targeted support to small business owners in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 19 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Madhya Pradesh,Employment
Rural Development Social Welfare Kalyan Program,"The Rural Development Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to self help groups in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 27 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
National Housing Mission,"The National Housing Mission is designed to promote housing development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 20 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
National Women Welfare Samriddhi Scheme,"The National Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 27 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Rural Development Healthcare Samriddhi Scheme,"The Rural Development Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to farmers in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 22 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Kerala,Healthcare
National Education Kalyan Program,"The National Education Kalyan Program is designed to promote education development by providing targeted support to senior citizens in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 19 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Gujarat,Education
Integrated Women Welfare Yojana,"The Integrated Women Welfare Yojana is designed to promote women welfare development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 24 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,All India,Women Welfare
Digital India Employment Kalyan Program,"The Digital India Employment Kalyan Program is designed to promote employment development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 26 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,Andhra Pradesh,Employment
Urban Development Startup Mission,"The Urban Development Startup Mission is designed to promote startup development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 20 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,All India,Startup
Chief Minister Energy Kalyan Program,"The Chief Minister Energy Kalyan Program is designed to promote energy development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 18 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Uttar Pradesh,Energy
National Employment Mission,"The National Employment Mission is designed to promote employment development by providing targeted support to startup founders in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 23 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Labour and Employment,Telangana,Employment
Smart India Agriculture Samriddhi Scheme,"The Smart India Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 19 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Agriculture and Farmers Welfare,Uttar Pradesh,Agriculture
Urban Development Skill Development Development Initiative,"The Urban Development Skill Development Development Initiative is designed to promote skill development development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 27 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development
Rural Development Startup Yojana,"The Rural Development Startup Yojana is designed to promote startup development by providing targeted support to self help groups in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 20 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Rajasthan,Startup
Digital India Agriculture Samriddhi Scheme,"The Digital India Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 28 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Smart India Skill Development Kalyan Program,"The Smart India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 27 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development
Chief Minister Employment Abhiyan,"The Chief Minister Employment Abhiyan is designed to promote employment development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 19 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,West Bengal,Employment
Integrated Employment Development Initiative,"The Integrated Employment Development Initiative is designed to promote employment development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 25 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,All India,Employment
National Energy Yojana,"The National Energy Yojana is designed to promote energy development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 25 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,Tamil Nadu,Energy
Pradhan Mantri Agriculture Mission,"The Pradhan Mantri Agriculture Mission is designed to promote agriculture development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 20 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Digital India Social Welfare Kalyan Program,"The Digital India Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to farmers in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 21 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Social Justice and Empowerment,Madhya Pradesh,Social Welfare
Smart India Housing Kalyan Program,"The Smart India Housing Kalyan Program is designed to promote housing development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 18 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Housing and Urban Affairs,Andhra Pradesh,Housing
Digital India Startup Mission,"The Digital India Startup Mission is designed to promote startup development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 20 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Maharashtra,Startup
Rural Development Employment Yojana,"The Rural Development Employment Yojana is designed to promote employment development by providing targeted support to students in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 23 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Labour and Employment,All India,Employment
Chief Minister Healthcare Mission,"The Chief Minister Healthcare Mission is designed to promote healthcare development by providing targeted support to farmers in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 24 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Andhra Pradesh,Healthcare
National Energy Development Initiative,"The National Energy Development Initiative is designed to promote energy development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 26 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Rajasthan,Energy
Urban Development Startup Samriddhi Scheme,"The Urban Development Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to self help groups in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 18 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Uttar Pradesh,Startup
Rural Development Women Welfare Mission,"The Rural Development Women Welfare Mission is designed to promote women welfare development by providing targeted support to urban poor families in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 28 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,Kerala,Women Welfare
Urban Development Healthcare Kalyan Program,"The Urban Development Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 27 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,Andhra Pradesh,Healthcare
Integrated Agriculture Kalyan Program,"The Integrated Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 20 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Rural Development Education Yojana,"The Rural Development Education Yojana is designed to promote education development by providing targeted support to farmers in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 19 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,West Bengal,Education
Integrated Education Abhiyan,"The Integrated Education Abhiyan is designed to promote education development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 21 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Karnataka,Education
National Skill Development Samriddhi Scheme,"The National Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 26 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,Madhya Pradesh,Skill Development
Rural Development Social Welfare Development Initiative,"The Rural Development Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 22 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Urban Development Housing Mission,"The Urban Development Housing Mission is designed to promote housing development by providing targeted support to farmers in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 24 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Housing and Urban Affairs,Andhra Pradesh,Housing
Digital India Healthcare Kalyan Program,"The Digital India Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 30 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,All India,Healthcare
Chief Minister Agriculture Samriddhi Scheme,"The Chief Minister Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to farmers in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 18 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,West Bengal,Agriculture
Digital India Education Yojana,"The Digital India Education Yojana is designed to promote education development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be startup founders aged between 21 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Education,Tamil Nadu,Education
Integrated Housing Abhiyan,"The Integrated Housing Abhiyan is designed to promote housing development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be self help groups aged between 18 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
Smart India Social Welfare Abhiyan,"The Smart India Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 27 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Urban Development Energy Abhiyan,"The Urban Development Energy Abhiyan is designed to promote energy development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 26 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Power,Gujarat,Energy
Smart India Startup Kalyan Program,"The Smart India Startup Kalyan Program is designed to promote startup development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 22 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Uttar Pradesh,Startup
Smart India Skill Development Samriddhi Scheme,"The Smart India Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to students in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 26 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development
Chief Minister Housing Mission,"The Chief Minister Housing Mission is designed to promote housing development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 27 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Housing and Urban Affairs,All India,Housing
Urban Development Agriculture Abhiyan,"The Urban Development Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 22 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Agriculture and Farmers Welfare,West Bengal,Agriculture
Integrated Housing Development Initiative,"The Integrated Housing Development Initiative is designed to promote housing development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 30 and 46 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,All India,Housing
Digital India Housing Samriddhi Scheme,"The Digital India Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to youth in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 28 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Maharashtra,Housing
Urban Development Women Welfare Yojana,"The Urban Development Women Welfare Yojana is designed to promote women welfare development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 25 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare
Integrated Employment Yojana,"The Integrated Employment Yojana is designed to promote employment development by providing targeted support to rural households in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 29 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Kerala,Employment
Chief Minister Social Welfare Mission,"The Chief Minister Social Welfare Mission is designed to promote social welfare development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 19 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Pradhan Mantri Energy Samriddhi Scheme,"The Pradhan Mantri Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to rural households in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 23 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Madhya Pradesh,Energy
Chief Minister Education Abhiyan,"The Chief Minister Education Abhiyan is designed to promote education development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 26 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Kerala,Education
Smart India Women Welfare Yojana,"The Smart India Women Welfare Yojana is designed to promote women welfare development by providing targeted support to students in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 29 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Karnataka,Women Welfare
Chief Minister Women Welfare Mission,"The Chief Minister Women Welfare Mission is designed to promote women welfare development by providing targeted support to senior citizens in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 21 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Rajasthan,Women Welfare
Urban Development Healthcare Yojana,"The Urban Development Healthcare Yojana is designed to promote healthcare development by providing targeted support to rural households in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 30 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,Kerala,Healthcare
National Healthcare Kalyan Program,"The National Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 20 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Health and Family Welfare,Rajasthan,Healthcare
