scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector,rag_text
Smart India Agriculture Samriddhi Scheme,"The Smart India Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 30 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Telangana,Agriculture,"
Scheme Name: Smart India Agriculture Samriddhi Scheme

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Telangana

Description:
The Smart India Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be farmers aged between 30 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Education Mission,"The National Education Mission is designed to promote education development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 23 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Andhra Pradesh,Education,"
Scheme Name: National Education Mission

Sector: Education
Ministry: Ministry of Education
State: Andhra Pradesh

Description:
The National Education Mission is designed to promote education development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be small business owners aged between 23 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Employment Abhiyan,"The Urban Development Employment Abhiyan is designed to promote employment development by providing targeted support to rural households in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 27 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,West Bengal,Employment,"
Scheme Name: Urban Development Employment Abhiyan

Sector: Employment
Ministry: Ministry of Labour and Employment
State: West Bengal

Description:
The Urban Development Employment Abhiyan is designed to promote employment development by providing targeted support to rural households in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be rural households aged between 27 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Employment Development Initiative,"The Urban Development Employment Development Initiative is designed to promote employment development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 30 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,Madhya Pradesh,Employment,"
Scheme Name: Urban Development Employment Development Initiative

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Madhya Pradesh

Description:
The Urban Development Employment Development Initiative is designed to promote employment development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be youth aged between 30 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Social Welfare Kalyan Program,"The Urban Development Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to self help groups in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 28 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,Kerala,Social Welfare,"
Scheme Name: Urban Development Social Welfare Kalyan Program

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Kerala

Description:
The Urban Development Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to self help groups in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be self help groups aged between 28 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Housing Abhiyan,"The Chief Minister Housing Abhiyan is designed to promote housing development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 20 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,West Bengal,Housing,"
Scheme Name: Chief Minister Housing Abhiyan

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: West Bengal

Description:
The Chief Minister Housing Abhiyan is designed to promote housing development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be students aged between 20 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Energy Yojana,"The Digital India Energy Yojana is designed to promote energy development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 23 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,West Bengal,Energy,"
Scheme Name: Digital India Energy Yojana

Sector: Energy
Ministry: Ministry of Power
State: West Bengal

Description:
The Digital India Energy Yojana is designed to promote energy development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be students aged between 23 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Women Welfare Samriddhi Scheme,"The Pradhan Mantri Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 26 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Women and Child Development,Tamil Nadu,Women Welfare,"
Scheme Name: Pradhan Mantri Women Welfare Samriddhi Scheme

Sector: Women Welfare
Ministry: Ministry of Women and Child Development
State: Tamil Nadu

Description:
The Pradhan Mantri Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be women entrepreneurs aged between 26 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Skill Development Mission,"The Rural Development Skill Development Mission is designed to promote skill development development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be self help groups aged between 19 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development,"
Scheme Name: Rural Development Skill Development Mission

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Andhra Pradesh

Description:
The Rural Development Skill Development Mission is designed to promote skill development development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be self help groups aged between 19 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Startup Abhiyan,"The Pradhan Mantri Startup Abhiyan is designed to promote startup development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 21 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Tamil Nadu,Startup,"
Scheme Name: Pradhan Mantri Startup Abhiyan

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Tamil Nadu

Description:
The Pradhan Mantri Startup Abhiyan is designed to promote startup development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be urban poor families aged between 21 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Women Welfare Yojana,"The Integrated Women Welfare Yojana is designed to promote women welfare development by providing targeted support to self help groups in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 30 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Women and Child Development,Maharashtra,Women Welfare,"
Scheme Name: Integrated Women Welfare Yojana

Sector: Women Welfare
Ministry: Ministry of Women and Child Development
State: Maharashtra

Description:
The Integrated Women Welfare Yojana is designed to promote women welfare development by providing targeted support to self help groups in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be self help groups aged between 30 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Housing Development Initiative,"The Rural Development Housing Development Initiative is designed to promote housing development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 18 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,Telangana,Housing,"
Scheme Name: Rural Development Housing Development Initiative

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Telangana

Description:
The Rural Development Housing Development Initiative is designed to promote housing development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be women entrepreneurs aged between 18 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Agriculture Yojana,"The Smart India Agriculture Yojana is designed to promote agriculture development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be startup founders aged between 25 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Rajasthan,Agriculture,"
Scheme Name: Smart India Agriculture Yojana

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Rajasthan

Description:
The Smart India Agriculture Yojana is designed to promote agriculture development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be startup founders aged between 25 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Agriculture Kalyan Program,"The Pradhan Mantri Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 19 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture,"
Scheme Name: Pradhan Mantri Agriculture Kalyan Program

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Maharashtra

Description:
The Pradhan Mantri Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be small business owners aged between 19 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Social Welfare Mission,"The Integrated Social Welfare Mission is designed to promote social welfare development by providing targeted support to farmers in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 21 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Social Justice and Empowerment,Kerala,Social Welfare,"
Scheme Name: Integrated Social Welfare Mission

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Kerala

Description:
The Integrated Social Welfare Mission is designed to promote social welfare development by providing targeted support to farmers in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 21 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Social Welfare Kalyan Program,"The Chief Minister Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 26 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Social Justice and Empowerment,Rajasthan,Social Welfare,"
Scheme Name: Chief Minister Social Welfare Kalyan Program

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Rajasthan

Description:
The Chief Minister Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be rural households aged between 26 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Startup Samriddhi Scheme,"The Chief Minister Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 23 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Uttar Pradesh,Startup,"
Scheme Name: Chief Minister Startup Samriddhi Scheme

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Uttar Pradesh

Description:
The Chief Minister Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be rural households aged between 23 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Agriculture Development Initiative,"The Pradhan Mantri Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to students in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 27 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Agriculture and Farmers Welfare,Tamil Nadu,Agriculture,"
Scheme Name: Pradhan Mantri Agriculture Development Initiative

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Tamil Nadu

Description:
The Pradhan Mantri Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to students in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be students aged between 27 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Energy Mission,"The National Energy Mission is designed to promote energy development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 28 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Uttar Pradesh,Energy,"
Scheme Name: National Energy Mission

Sector: Energy
Ministry: Ministry of Power
State: Uttar Pradesh

Description:
The National Energy Mission is designed to promote energy development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be women entrepreneurs aged between 28 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Healthcare Development Initiative,"The Integrated Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to women entrepreneurs in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 28 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,Rajasthan,Healthcare,"
Scheme Name: Integrated Healthcare Development Initiative

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Rajasthan

Description:
The Integrated Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to women entrepreneurs in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be women entrepreneurs aged between 28 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Healthcare Kalyan Program,"The Smart India Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 18 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Health and Family Welfare,Maharashtra,Healthcare,"
Scheme Name: Smart India Healthcare Kalyan Program

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Maharashtra

Description:
The Smart India Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be students aged between 18 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Startup Samriddhi Scheme,"The Smart India Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 18 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Karnataka,Startup,"
Scheme Name: Smart India Startup Samriddhi Scheme

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Karnataka

Description:
The Smart India Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be women entrepreneurs aged between 18 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Healthcare Kalyan Program,"The Rural Development Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to self help groups in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 21 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Gujarat,Healthcare,"
Scheme Name: Rural Development Healthcare Kalyan Program

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Gujarat

Description:
The Rural Development Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to self help groups in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be self help groups aged between 21 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Agriculture Mission,"The Urban Development Agriculture Mission is designed to promote agriculture development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 21 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture,"
Scheme Name: Urban Development Agriculture Mission

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Gujarat

Description:
The Urban Development Agriculture Mission is designed to promote agriculture development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be small business owners aged between 21 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Employment Samriddhi Scheme,"The Digital India Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 21 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Maharashtra,Employment,"
Scheme Name: Digital India Employment Samriddhi Scheme

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Maharashtra

Description:
The Digital India Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be small business owners aged between 21 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Education Samriddhi Scheme,"The Rural Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 20 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Education,Tamil Nadu,Education,"
Scheme Name: Rural Development Education Samriddhi Scheme

Sector: Education
Ministry: Ministry of Education
State: Tamil Nadu

Description:
The Rural Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be startup founders aged between 20 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Skill Development Kalyan Program,"The Rural Development Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 22 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development,"
Scheme Name: Rural Development Skill Development Kalyan Program

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Karnataka

Description:
The Rural Development Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be senior citizens aged between 22 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Skill Development Kalyan Program,"The Pradhan Mantri Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 25 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development,"
Scheme Name: Pradhan Mantri Skill Development Kalyan Program

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: West Bengal

Description:
The Pradhan Mantri Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be senior citizens aged between 25 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
